aspect,kappa,res_size,noise_model,seed,effective_kappa,method,final_be,pass_fail,iters_to_stable
10,1000000.0,1e-06,b_only,40004,1000000.0,qr_ref,1.9160480967554355e-16,1,0
10,1000000.0,1e-06,a_and_b,32439,610.6357890815535,iter_sketch_mom,2.7569516875215675e-15,0,
10,1000000.0,1e-06,a_and_b,32439,610.6357890815535,sketch_pre_cold,2.1178006869180667e-10,0,
10,1000000.0,1e-06,a_and_b,32439,610.6357890815535,sketch_pre_warm,7.210676252449043e-12,0,
10,1000000.0,1e-06,a_and_b,32439,610.6357890815535,spir,1.4896792416075073e-17,1,20
10,1000000.0,1e-06,a_and_b,32439,610.6357890815535,qr_ref,2.32526705812786e-16,1,0
10,1000000.0,1e-06,a_and_b,10001,630.6108136934367,iter_sketch_mom,2.895634665148557e-15,0,
10,1000000.0,1e-06,a_and_b,10001,630.6108136934367,sketch_pre_cold,6.634417007194982e-10,0,
10,1000000.0,1e-06,a_and_b,10001,630.6108136934367,sketch_pre_warm,4.451227483594248e-12,0,
10,1000000.0,1e-06,a_and_b,10001,630.6108136934367,spir,1.7834820912119e-17,1,20
10,1000000.0,1e-06,a_and_b,10001,630.6108136934367,qr_ref,2.530531032037202e-16,1,0
10,1000000.0,1e-06,a_and_b,20002,599.5079327583828,iter_sketch_mom,4.275731270960578e-15,0,
10,1000000.0,1e-06,a_and_b,20002,599.5079327583828,sketch_pre_cold,3.4957220303259947e-10,0,
10,1000000.0,1e-06,a_and_b,20002,599.5079327583828,sketch_pre_warm,2.065947432441923e-12,0,
10,1000000.0,1e-06,a_and_b,20002,599.5079327583828,spir,1.506962584012843e-17,1,20
10,1000000.0,1e-06,a_and_b,20002,599.5079327583828,qr_ref,3.0757431414155777e-16,1,0
10,1000000.0,1e-06,a_and_b,30003,610.1743455734585,iter_sketch_mom,6.171441481727755e-15,0,
10,1000000.0,1e-06,a_and_b,30003,610.1743455734585,sketch_pre_cold,1.6222395602743076e-09,0,
10,1000000.0,1e-06,a_and_b,30003,610.1743455734585,sketch_pre_warm,1.5536527193060576e-11,0,
10,1000000.0,1e-06,a_and_b,30003,610.1743455734585,spir,1.9377206936064543e-17,1,20
