dataset_id,dataset_family,noise_model,seed,m,n,m_over_n,density,condition_proxy,column_norm_ratio,numerical_rank,full_column_rank,effective_kappa,method,final_be,pass_fail,iters_to_stable
well1033,suitesparse,a_and_b,40004,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,134.4969830814984,sketch_pre_warm,1.9778586914668354e-12,0,
well1033,suitesparse,a_and_b,40004,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,134.4969830814984,fossils,1.9594378484954007e-17,1,
well1033,suitesparse,a_and_b,40004,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,134.4969830814984,spir,1.765402243312835e-17,1,
well1033,suitesparse,a_and_b,40004,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,134.4969830814984,qr_ref,1.3607043381802035e-16,1,0
illc1033,suitesparse,b_only,32439,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,18888.13321852914,sketch_solve,1.6357934818130025e-08,0,
illc1033,suitesparse,b_only,32439,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,18888.13321852914,iter_sketch_mom,1.5882440115308294e-14,0,
illc1033,suitesparse,b_only,32439,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,18888.13321852914,sketch_pre_cold,6.130546704676122e-10,0,
illc1033,suitesparse,b_only,32439,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,18888.13321852914,sketch_pre_warm,1.8605936427235697e-16,1,
illc1033,suitesparse,b_only,32439,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,18888.13321852914,fossils,1.0614391458289827e-17,1,
illc1033,suitesparse,b_only,32439,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,18888.13321852914,spir,6.65498697884103e-18,1,14
illc1033,suitesparse,b_only,32439,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,18888.13321852914,qr_ref,1.6766478532809632e-16,1,0
illc1033,suitesparse,b_only,10001,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,18888.13321852914,sketch_solve,1.8264651158639242e-08,0,
illc1033,suitesparse,b_only,10001,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,18888.13321852914,iter_sketch_mom,6.732947867809405e-15,0,
